day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
45,5431.337693845584,136.641675720139,39.7487638029975,5893.862054038802,562.5243601932125,5331.3376938455895,0.0,0.2,190.5193172180334,19.089036139565565,171.43028107846783,52,52,0.3670968488377977,0.009501593380400391,3531,3531,52,0.3670968488377977,8000.0,100.0,0.2,0.02,1186,0.012594436847481148
46,5600.729983833394,138.78400613262374,40.35573074955961,6081.863227054418,581.133243221021,5500.729983833397,0.0,0.2,188.00117301561568,18.608883027808474,169.3922899878072,47,47,0.3959336814427223,0.001,3762,3762,47,0.3959336814427223,8000.0,100.0,0.2,0.02,1209,0.013342308701342079
47,5755.684585225135,189.2169936931524,30.418433740464973,6264.878153669813,609.1935684446739,5655.684585225139,0.0,0.2,183.01492661539578,28.060325223652967,154.9546013917428,77,77,0.3644198080993947,0.001,3624,3624,77,0.3644198080993947,8000.0,100.0,0.2,0.02,1233,0.013282779743493487
48,5940.605615940174,73.31715309498689,81.02613597453454,6459.867443680654,619.2618277404767,5840.605615940178,0.0,0.2,194.9892900108407,10.068259295802818,184.9210307150379,20,20,0.5034129647901335,0.00647122372138378,3770,3770,20,0.5034129647901335,8000.0,100.0,0.2,0.02,1257,0.012757702232721978
49,6135.066202590879,24.848754813017432,246.89632332711184,6657.811327931011,622.7451253401301,6035.0662025908805,0.0,0.2,197.94388425035686,3.4832975996533833,194.46058665070348,6,6,0.5805495999422159,0.004682625468585938,3842,3842,6,0.5805495999422159,8000.0,100.0,0.2,0.02,1282,0.011689161879332555
50,6366.256036071379,12.950247929601899,491.5933710828255,6890.8330779264425,624.5770418550613,6266.2560360713815,0.0,0.2,233.0217499954315,1.8319165149312084,231.18983348050028,5,5,0.3663833029862334,0.02195277957766741,3880,3880,5,0.3663833029862334,8000.0,100.0,0.2,0.02,1307,0.010918476397370251
51,6537.284397516763,203.03100457450807,32.19845368551934,7090.208337455638,652.9239399388714,6437.284397516766,0.0,0.2,199.37525952919532,28.34689808381006,171.02836144538526,78,78,0.3634217703052617,0.001,3970,3970,78,0.3634217703052617,8000.0,100.0,0.2,0.02,1333,0.011551571062821498
52,6768.833520707993,7.663112918053302,883.3007673371872,7322.818774384341,653.9852536763448,6668.833520707996,0.0,0.2,232.61043692870317,1.0613137374733697,231.5491231912298,4,4,0.2653284343683203,0.016059847290046905,4095,4095,4,0.2653284343683203,8000.0,100.0,0.2,0.02,1359,0.010751498073419638
53,6988.126590175782,324.8527948862909,21.511671440665474,7589.574102845259,701.4475126694718,6888.126590175788,0.0,0.2,266.75532846091846,47.46225899312708,219.29306946779138,109,109,0.43543356874428363,0.029441282873143376,4004,4004,109,0.43543356874428363,8000.0,100.0,0.2,0.02,1386,0.01238256629079081
54,7224.8684291754225,34.73692130083264,207.98816241099186,7831.02770826275,706.1592790873226,7124.868429175427,0.0,0.2,241.4536054174905,4.711766417850754,236.74183899963975,12,12,0.3926472014875558,0.018223138583629,4217,4217,12,0.3926472014875558,8000.0,100.0,0.2,0.02,1413,0.011294607082613938
55,7452.838177019471,25.845895557735957,288.35673967539327,8062.607543270754,709.7693662512779,7352.838177019476,0.0,0.2,231.579835008004,3.6100871639553134,227.9697478440487,6,6,0.6016811939925394,0.007205345446828241,4313,4313,6,0.6016811939925394,8000.0,100.0,0.2,0.02,1441,0.010719541260701348
